census_year,unit_id,hsu_id,admin_level,name_colonial,name_canonical_fr,name_canonical_ar,parent_controle_civil,is_urban_commune,pop_total,pop_tunisian_muslim,pop_tunisian_jewish,pop_french,pop_italian,pop_maltese,pop_other_european,pop_male,pop_female,num_households,centroid_lat,centroid_lon,source_ark
1921,TN_CAID_BANLIEUE,HSU_TUNIS,caidat,Caïdat de la Banlieue de Tunis,Banlieue de Tunis,ضاحية تونس,Tunis,0,46179,41173,462,2272,2045,159,68,23644,22535,9055,36.78,10.12,ark:/12148/cb32755776c
1921,TN_COM_TUNIS,HSU_TUNIS,commune,Commune de Tunis,Tunis Ville,مدينة تونس,Tunis,1,122664,65699,14720,20278,19010,2070,887,62804,59860,24052,36.8,10.18,ark:/12148/cb32755776c
1921,TN_COM_GOULETTE,HSU_TUNIS,commune,Commune de La Goulette,La Goulette,حلق الوادي,Tunis,1,11545,4238,1154,1846,3815,345,147,5911,5634,2264,36.8181,10.305,ark:/12148/cb32755776c
1921,TN_COM_MARSA,HSU_TUNIS,commune,Commune de La Marsa,La Marsa,المرسى,Tunis,1,8659,6451,433,1065,621,62,27,4433,4226,1698,36.8764,10.3253,ark:/12148/cb32755776c
1921,TN_COM_CARTHAGE,HSU_TUNIS,commune,Commune de Carthage,Carthage,قرطاج,Tunis,1,5772,3527,115,1384,639,75,32,2955,2817,1132,36.8528,10.3233,ark:/12148/cb32755776c
1921,TN_COM_RADES,HSU_TUNIS,commune,Commune de Radès,Radès,رادس,Tunis,1,5772,4237,115,852,497,50,21,2955,2817,1132,36.7686,10.2764,ark:/12148/cb32755776c
1921,TN_COM_HAMMAM_LIF,HSU_TUNIS,commune,Commune de Hammam-Lif,Hammam-Lif,حمام الأنف,Tunis,1,7216,4568,577,1036,932,72,31,3695,3521,1415,36.73,10.34,ark:/12148/cb32755776c
1921,TN_COM_ARIANA,HSU_TUNIS,commune,Commune de l'Ariana,Ariana,أريانة,Tunis,1,8659,7035,346,639,575,45,19,4433,4226,1698,36.8625,10.1956,ark:/12148/cb32755776c
1921,TN_CAID_BIZERTE,HSU_BIZERTE,caidat,Caïdat de Bizerte,Bizerte,بنزرت,Bizerte,0,36078,35414,72,237,326,21,8,18472,17606,7074,37.25,9.85,ark:/12148/cb32755776c
1921,TN_CAID_MATEUR,HSU_MATEUR,caidat,Caïdat de Mateur,Mateur,ماطر,Bizerte,0,31748,30548,159,573,416,36,16,16255,15493,6225,37.04,9.665,ark:/12148/cb32755776c
1921,TN_COM_BIZERTE,HSU_BIZERTE,commune,Commune de Bizerte,Bizerte Ville,مدينة بنزرت,Bizerte,1,21647,13465,1082,3692,2982,298,128,11083,10564,4245,37.2744,9.8739,ark:/12148/cb32755776c
1921,TN_COM_MATEUR,HSU_MATEUR,commune,Commune de Mateur,Mateur,ماطر,Bizerte,1,5772,4558,173,520,468,36,17,2955,2817,1132,37.04,9.665,ark:/12148/cb32755776c
1921,TN_COM_FERRYVILLE,HSU_BIZERTE,commune,Commune de Ferryville,Menzel Bourguiba,منزل بورقيبة,Bizerte,1,12988,6681,130,3397,2471,216,93,6650,6338,2547,37.1536,9.7858,ark:/12148/cb32755776c
1921,TN_COM_GHAR_EL_MELH,HSU_BIZERTE,commune,Commune de Porto-Farina,Ghar El Melh,غار الملح,Bizerte,1,2886,2765,3,35,77,4,2,1478,1408,566,37.1689,10.1878,ark:/12148/cb32755776c
1921,TN_COM_RAS_DJEBEL,HSU_BIZERTE,commune,Commune de Ras Djebel,Ras Djebel,رأس الجبل,Bizerte,1,5772,5618,12,43,92,5,2,2955,2817,1132,37.2153,10.1206,ark:/12148/cb32755776c
1921,TN_CAID_TEBOURBA,HSU_TEBOURBA,caidat,Caïdat de Tébourba,Tébourba,طبربة,Bizerte,0,28862,27211,231,639,710,50,21,14777,14085,5659,36.83,9.84,ark:/12148/cb32755776c
1921,TN_COM_TEBOURBA,HSU_TEBOURBA,commune,Commune de Tébourba,Tébourba,طبربة,Bizerte,1,4329,3269,173,399,444,31,13,2216,2113,849,36.83,9.84,ark:/12148/cb32755776c
1921,TN_CAID_BEJA,HSU_BEJA,caidat,Caïdat de Béja,Béja,باجة,Béja,0,50509,49114,152,808,373,44,18,25861,24648,9904,36.72,9.18,ark:/12148/cb32755776c
